"","scores_adabag","scores_svm","scores_rf"
"997",0.5,0.5,0.5
"998",0.5,0.5,0.5
"999",1,1,1
"1000",0,0.5,0.5
"1001",0.5,0.5,0.5
"1002",0.5,0.5,0.5
"1003",1,1,1
"1004",0.5,0.5,0.5
"1005",0.5,0.5,0.5
"1006",0.5,0.5,0.5
"1007",0.5,0.5,0.5
"1008",0.5,0.5,0.5
"1009",1,1,1
"1010",1,0.5,1
"1011",0.5,0.5,0.5
"1012",1,1,1
"1013",1,0.5,1
"1014",0.5,0.5,0.5
"1015",1,1,1
"1016",1,0.5,0.5
"1017",1,1,1
"1018",1,1,1
"1019",0.5,0.5,0.5
"1020",0.5,0.5,0.5
"1021",0.5,0.5,0.5
"1022",0.5,1,1
"1023",0.5,0.5,0.5
"1024",0.5,0.5,0.5
"1025",0.5,0.5,0.5
"1026",1,0.5,0.5
"1027",0.5,0.5,0.5
"1028",0.5,0.5,0.5
"1029",1,0.5,1
"1030",1,1,1
"1031",0.5,1,0.5
"1032",1,1,1
"1033",0.5,0.5,0
"1034",1,1,1
"1035",0.5,0.5,0.5
"1036",1,1,1
"1037",0.5,0.5,0.5
"1038",0.5,0.5,0.5
"1039",0.5,0.5,0.5
"1040",1,1,1
"1041",1,1,1
"1042",0.5,0.5,0.5
"1043",1,0.5,1
"1044",1,1,1
"1045",0.5,0.5,0.5
"1046",0,0.5,0.5
"1047",1,0.5,1
"1048",0.5,0.5,0.5
"1049",0.5,0.5,0.5
"1050",0.5,0.5,0.5
"1051",0.5,1,1
"1052",0.5,0.5,0.5
"1053",0.5,0.5,1
"1054",1,1,1
"1055",1,1,1
"1056",1,1,1
"1057",0.5,0.5,0.5
"1058",0.5,0.5,1
"1059",0.5,0.5,0.5
"1060",1,1,1
"1061",0.5,0.5,0.5
"1062",0.5,0,0.5
"1063",0.5,0.5,0.5
"1064",1,0.5,1
"1065",1,1,1
"1066",0.5,0.5,0.5
"1067",0.5,1,1
"1068",0.5,1,1
"1069",0.5,0.5,0.5
"1070",0.5,0.5,0.5
"1071",0.5,0.5,0.5
"1072",0,0,0
"1073",0.5,0.5,0.5
"1074",0.5,0.5,0.5
"1075",1,0.5,1
"1076",0.5,0.5,0.5
"1077",0.5,0.5,0.5
"1078",0.5,0.5,0.5
"1079",1,0.5,1
"1080",0.5,0.5,0.5
"1081",1,1,1
"1082",1,1,1
